Title,Author,Genre,SubGenre,Height,Category
Batman: The Long Halloween,"Said, Edward",fiction,comic,258,fiction comic
"Hunchback of Notre Dame, The","Hugo, Victor",fiction,classic,175,fiction classic
Girl with the Dragon Tattoo,"Larsson, Steig",fiction,novel,179,fiction novel
"Idea of Justice, The","Sen, Amartya",philosophy,economics,212,philosophy economics
Power Electronics - Mohan,"Mohan, Ned",tech,computer_science,237,tech computer_science
"City of Joy, The","Lapierre, Dominique",fiction,novel,177,fiction novel
Down and Out in Paris & London,"Orwell, George",nonfiction,autobiography,179,nonfiction autobiography
"Last Lecture, The","Pausch, Randy",nonfiction,autobiography,197,nonfiction autobiography
Python for Data Analysis,"McKinney, Wes",tech,data_science,233,tech data_science
Oxford book of Modern Science Writing,"Dawkins, Richard",science,science,240,science science
One,"Bach, Richard",nonfiction,autobiography,172,nonfiction autobiography
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction,classic,176,fiction classic
Physics & Philosophy,"Heisenberg, Werner",philosophy,science,197,philosophy science
From Beirut to Jerusalem,"Friedman, Thomas",nonfiction,history,202,nonfiction history
"Killing Joke, The","Said, Edward",fiction,comic,283,fiction comic
"Argumentative Indian, The","Sen, Amartya",nonfiction,history,209,nonfiction history
Angels & Demons,"Brown, Dan",fiction,novel,178,fiction novel
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",tech,data_science,230,tech data_science
Justice League: Throne of Atlantis,"Said, Edward",fiction,comic,258,fiction comic
Textbook of Economic Theory,"Stonier, Alfred",tech,economics,242,tech economics
Burning Bright,"Steinbeck, John",fiction,classic,175,fiction classic
"Moon and Sixpence, The","Maugham, William S",fiction,classic,180,fiction classic
Maqta-e-Ghalib,"Garg, Sanjay",nonfiction,poetry,221,nonfiction poetry
Structure and Randomness,"Tao, Terence",science,mathematics,252,science mathematics
"Idiot, The","Dostoevsky, Fyodor",fiction,classic,197,fiction classic
"Pillars of the Earth, The","Follett, Ken",fiction,novel,176,fiction novel
Birth of a Theorem,"Villani, Cedric",science,mathematics,234,science mathematics
"Farewell to Arms, A","Hemingway, Ernest",fiction,classic,179,fiction classic
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,classic,176,fiction classic
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,classic,172,fiction classic
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",nonfiction,history,228,nonfiction history
"Age of Discontuinity, The","Drucker, Peter",nonfiction,economics,178,nonfiction economics
"Numbers Behind Numb3rs, The","Devlin, Keith",science,mathematics,202,science mathematics
In a Free State,"Naipaul, V. S.",fiction,novel,196,fiction novel
Karl Marx Biography,"Said, Edward",nonfiction,autobiography,162,nonfiction autobiography
Hafasavnuk,Deshpande P L,fiction,novel,211,fiction novel
Radiowaril Bhashane & Shrutika,"Deshpande, P L",nonfiction,misc,213,nonfiction misc
"Russian Journal, A","Steinbeck, John",nonfiction,history,196,nonfiction history
Batman Handbook,"Said, Edward",fiction,comic,270,fiction comic
Aghal Paghal,"Deshpande, P L",nonfiction,misc,212,nonfiction misc
"Deceiver, The","Forsyth, Frederick",fiction,novel,178,fiction novel
"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction,history,198,nonfiction history
Flashpoint,"Said, Edward",fiction,comic,265,fiction comic
Philosophy: Who Needs It,"Rand, Ayn",philosophy,objectivism,171,philosophy objectivism
Apulki,"Deshpande, P L",nonfiction,misc,211,nonfiction misc
God Created the Integers,"Hawking, Stephen",tech,mathematics,197,tech mathematics
Gun Gayin Awadi,"Deshpande, P L",nonfiction,misc,212,nonfiction misc
Asami Asami,"Deshpande, P L",fiction,novel,205,fiction novel
Rosy is My Relative,"Durrell, Gerald",fiction,novel,176,fiction novel
History of Western Philosophy,"Russell, Bertrand",philosophy,philosophy,213,philosophy philosophy
Free Will,"Harris, Sam",nonfiction,psychology,203,nonfiction psychology
O Jerusalem!,"Lapierre, Dominique",nonfiction,history,217,nonfiction history
Batman Earth One,"Said, Edward",fiction,comic,265,fiction comic
"Veteran, The","Forsyth, Frederick",fiction,novel,177,fiction novel
To Sir With Love,Braithwaite,fiction,classic,197,fiction classic
Principles of Communication Systems,"Taub, Schilling",tech,signal_processing,240,tech signal_processing
Machine Learning for Hackers,"Conway, Drew",tech,data_science,233,tech data_science
Final Crisis,"Said, Edward",fiction,comic,257,fiction comic
"Artist and the Mathematician, The","Aczel, Amir",science,mathematics,186,science mathematics
"Tao of Physics, The","Capra, Fritjof",science,physics,179,science physics
Slaughterhouse Five,"Vonnegut, Kurt",fiction,classic,198,fiction classic
Murphy's Law,"Said, Edward",philosophy,psychology,178,philosophy psychology
Jim Corbett Omnibus,"Corbett, Jim",nonfiction,history,223,nonfiction history
